0|1|2|3
272|2.72|-0.0157881|0.12975
273|2.73|-0.0144906|0.131907
274|2.74|-0.0131715|0.133483
275|2.75|-0.0118367|0.13449
276|2.76|-0.0104918|0.134937
277|2.77|-0.0091424|0.13484
278|2.78|-0.007794|0.134213
279|2.79|-0.00645186|0.133074
280|2.8|-0.00512112|0.13144
281|2.81|-0.00380672|0.129333
282|2.82|-0.00251339|0.126772
283|2.83|-0.00124567|0.123782
284|2.84|-7.8468e-06|0.120385
285|2.85|0.001196|0.116606
286|2.86|0.00236207|0.112471
287|2.87|0.00348677|0.108005
288|2.88|0.00456682|0.103235
289|2.89|0.00559917|0.0981891
290|2.9|0.00658107|0.092894
291|2.91|0.00751001|0.0873775
292|2.92|0.00838378|0.0816676
293|2.93|0.00920046|0.0757922
294|2.94|0.00995838|0.0697789
295|2.95|0.0106562|0.0636553
296|2.96|0.0112927|0.0574486
297|2.97|0.0118672|0.0511857
298|2.98|0.0123791|0.0448926
299|2.99|0.012828|0.0385952
300|3|0.0132139|0.0323184
301|3.01|0.0135371|0.0260865
302|3.02|0.013798|0.0199227
303|3.03|0.0139972|0.0138496
304|3.04|0.0141357|0.00788859
305|3.05|0.0142146|0.00206021
306|3.06|0.0142352|-0.00361621
307|3.07|0.014199|-0.00912244
308|3.08|0.0141078|-0.0144414
309|3.09|0.0139634|-0.0195573
310|3.1|0.0137678|-0.0244554
311|3.11|0.0135233|-0.0291224
312|3.12|0.0132321|-0.0335463
313|3.13|0.0128966|-0.0377162
314|3.14|0.0125194|-0.0416227
315|3.15|0.0121032|-0.0452575
316|3.16|0.0116506|-0.0486139
317|3.17|0.0111645|-0.0516861
318|3.18|0.0106476|-0.0544699
319|3.19|0.0101029|-0.0569622
320|3.2|0.0095333|-0.0591611
321|3.21|0.00894169|-0.0610661
322|3.22|0.00833103|-0.0626777
323|3.23|0.00770425|-0.0639976
324|3.24|0.00706428|-0.0650286
325|3.25|0.00641399|-0.0657745
326|3.26|0.00575625|-0.0662403
327|3.27|0.00509384|-0.0664318
328|3.28|0.00442953|-0.0663557
329|3.29|0.00376597|-0.0660198
330|3.3|0.00310577|-0.0654325
331|3.31|0.00245145|-0.064603
332|3.32|0.00180542|-0.0635412
333|3.33|0.00117|-0.0622577
334|3.34|0.000547427|-0.0607637
335|3.35|-6.02108e-05|-0.0590709
336|3.36|-0.00065092|-0.0571914
337|3.37|-0.00122283|-0.0551377
338|3.38|-0.00177421|-0.0529227
339|3.39|-0.00230344|-0.0505597
340|3.4|-0.00280903|-0.0480619
341|3.41|-0.00328965|-0.0454431
342|3.42|-0.00374408|-0.0427167
343|3.43|-0.00417125|-0.0398966
344|3.44|-0.00457022|-0.0369965
345|3.45|-0.00494018|-0.03403
346|3.46|-0.00528048|-0.0310106
347|3.47|-0.00559059|-0.0279517
348|3.48|-0.00587011|-0.0248665
349|3.49|-0.00611877|-0.0217679
350|3.5|-0.00633645|-0.0186684
351|3.51|-0.00652313|-0.0155804
352|3.52|-0.00667894|-0.0125157
353|3.53|-0.00680409|-0.00948577
354|3.54|-0.00689895|-0.00650162
355|3.55|-0.00696397|-0.00357377
356|3.56|-0.00699971|-0.000712228
357|3.57|-0.00700683|0.00207352
358|3.58|-0.00698609|0.00477456
359|3.59|-0.00693835|0.00738257
360|3.6|-0.00686452|0.00988979
361|3.61|-0.00676562|0.0122891
362|3.62|-0.00664273|0.014574
363|3.63|-0.00649699|0.0167386
364|3.64|-0.00632961|0.0187776
365|3.65|-0.00614183|0.0206865
366|3.66|-0.00593497|0.0224613
367|3.67|-0.00571035|0.0240987
368|3.68|-0.00546937|0.025596
369|3.69|-0.00521341|0.0269511
370|3.7|-0.00494389|0.0281626
371|3.71|-0.00466227|0.0292296
372|3.72|-0.00436997|0.0301519
